Author,BookTitle,Date,PriceAPaperback,PriceBkindle,Ratings,SummaryAuthor,XcoverPicture
Alan Vermilye,  The Pilgrim's Progress: A Readable Modern-Day Version of John Bunyan’s Pilgrim’s Progress (Revised and easy-to-read) (The Pilgrim's Progress Series) ,"   May 7, 2020 ", 10.99 , 18.99 ,"2,178 ","Alan Vermilye has worked in the Christian publishing industry for over 20 years with many top selling Bible study authors as well as Christian musicians. He is an Amazon Best Seller and the author of The Screwtape Letters Study Guide, The Screwtape Letters Study Guide for Teens, Screwtape Proposes a Toast Study Guide, The Great Divorce Study Guide, The Problem with Pain Study Guide, A Christmas Carol Study Guide, It's a Wonderful Life Study Guide, and The Pilgrim's Progress Book and Study Guide. In addition, he has helped create and market hundreds of published Bible study projects including the Mere Christianity Bible Study Guide by Dr. Steven Urban and the Safe Travel Solutions security-training curriculum designed for short-term mission teams traveling overseas. You can learn more about his Bible studies and download free answer guides at www.BrownChairBooks.com",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5 ,"   December 20, 2022 ", 17.99 , 8.49 ,447 ,"Mo Xiang Tong Xiu, (MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Masashi Kishimoto,  Naruto: Sasuke's Story―The Uchiha and the Heavenly Stardust (Naruto Novels) ,"   November 22, 2022 ", 9.89 , 6.49 ,163 ,"Masashi Kishimoto, ,Author/artist Masashi Kishimoto was born in 1974 in rural Okayama Prefecture, Japan. After spending time in art college, he won the Hop Step Award for new manga artists with his manga ,Karakuri, (Mechanism). Kishimoto decided to base his next story on traditional Japanese culture. His first version of ,Naruto,, drawn in 1997, was a one-shot story about fox spirits; his final version, which debuted in ,Weekly Shonen Jump, in 1999, quickly became the most popular ninja manga in Japan., ,Jun Esaka, ,Born February 13 in Kanagawa Prefecture. Blood type O. After graduating from Waseda University, he began working as a writer.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4 ,"   December 13, 2022 ", 17.99 , 9.99 ,403 ,"Mo Xiang Tong Xiu, (MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3 ,"   August 16, 2022 ", 15.30 , 8.49 ,"1,552 ","Mo Xiang Tong Xiu ,(MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3 ,"   July 12, 2022 ", 17.99 , 8.49 ,"2,387 ","Mo Xiang Tong Xiu ,(MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Rou Bao Bu Chi Rou,  The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1 ,"   November 15, 2022 ", 17.99 , 8.49 ,473 ,"Rou Bao Bu Chi Rou, ,also known as ""Meatbun Doesn't Eat Meat,"" is a prolific Chinese author of danmei novels who has a passionate global fanbase and novels translated into multiple languages, including ,The Husky and His White Cat Shizun, Remnants of Filth, ,and the currently serializing, Case File Compendium.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition) ,"   May 2, 2023 ", 24.23 ,,,"Mo Xiang Tong Xiu, (MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",
Claudio Nocelli,"  TERRA-INFINITA, Extraterrestrial Worlds and Their Civilizations: The Story told by the Woman Who Was Born in the Lands Behind the Ice Walls ","   May 2, 2022 ", 16.19 ,,433 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Mo Xiang Tong Xiu,  Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2 ,"   May 17, 2022 ", 15.40 , 8.99 ,"2,632 ","Mo Xiang Tong Xiu, (MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
