title,author,runtime
Burner,Mark Greaney, 16 hrs and 37 mins
The Endless Field in South,Dinh Dong, 1 hr and 47 mins
The Housemaid's Secret,Freida McFadden, 9 hrs and 44 mins
Things We Hide from the Light,Lucy Score, 17 hrs and 36 mins
Holly,Stephen King, 16 hrs
In a Jam,Kate Canterbary, 15 hrs and 54 mins
Storm Watch,C. J. Box, 12 hrs and 15 mins
Angron: The Red Angel,David Guymer, 10 hrs and 57 mins
League of Auld,Edward Savio, 12 hrs and 46 mins
Only the Dead,Jack Carr, 12 hrs
Unleashed,Joshua Dalzelle, 8 hrs and 27 mins
Dempsey,"Jeffrey Wilson,Brian Andrews", 12 hrs and 14 mins
Prince of Lies,Lucy Lennox, 10 hrs and 26 mins
Jungle World,B.V. Larson, 13 hrs and 59 mins
Payback in Death,J. D. Robb, 13 hrs
Powerless,Elsie Silver, 10 hrs and 25 mins
Roots,Alex Haley, 27 hrs and 36 mins
Rise of the Fourth Reich,"Steve Deace,Daniel Horowitz", 11 hrs and 23 mins
The Obstacle Is the Way,Ryan Holiday, 4 hrs and 38 mins
Drama King,Penny Reid, 11 hrs and 47 mins
The Lord Ruler,Alvin Atwater, 17 hrs and 39 mins
Dragonslayer,Craig Alanson, 16 hrs and 40 mins
The Lost Relic,Vaughn Heppner, 14 hrs and 34 mins
Graves on the Fens,Joy Ellis, 10 hrs and 50 mins
Tears of Liscor,pirateaba, 42 hrs and 3 mins
The Awe of God,John Bevere, 7 hrs and 28 mins
Foul Play,Helena Marchmont, 2 hrs and 57 mins
Don't Let Me Break,Kelsie Rae, 10 hrs and 19 mins
The White Pill,Michael Malice, 9 hrs and 11 mins
Made for You,Natasha Madison, 7 hrs and 27 mins
Esrahaddon,Michael J. Sullivan, Not Yet Known
Whiskey Lies,Brittanee Nicole, 11 hrs and 48 mins
The Red Pyramid,Rick Riordan, 14 hrs and 33 mins
The Path of Ascension 2,C. Mantis, 17 hrs and 38 mins
Heartless,Elsie Silver, 9 hrs and 51 mins
Resurrection Walk,Michael Connelly, 12 hrs
Smoke Screen,Bradley Wright, 6 hrs and 49 mins
The Alpha Female Wolf,"Rick McIntyre,Jane Goodall - foreword", 6 hrs and 40 mins
"Hartman's Nursing Assistant Care: The Basics, 6th Edition","Jetta Fuzy MS RN,Hartman Publishing Inc.", 17 hrs and 25 mins
How to Save the West,Spencer Klavan, 6 hrs and 33 mins
Alt System,Tom Larcombe, 13 hrs and 25 mins
The Sound of Light,Sarah Sundin, 11 hrs and 28 mins
Lunatic,Onley James, 7 hrs and 49 mins
Earthside,Dennis E. Taylor, 8 hrs and 55 mins
Skinwalkers at the Pentagon,"James T. Lacatski DEng,Colm A. Kelleher PhD,George Knapp,various", 6 hrs and 12 mins
Throttled,Lauren Asher, 10 hrs and 21 mins
The Fortifier,D.K. Landtroop, 10 hrs and 9 mins
System Reborn Vol 1 & 2,Kaz Hunter, 10 hrs and 13 mins
Young Forever,Dr. Mark Hyman MD, 9 hrs and 28 mins
I Have Some Questions for You,Rebecca Makkai, 14 hrs and 4 mins
The Urgent Life,Bozoma Saint John, 7 hrs and 56 mins
The Emotional Lives of Teenagers,Lisa Damour Ph.D., 6 hrs and 15 mins
Forever Paired,Kathleen Brooks, 7 hrs and 20 mins
Tú eres lo único que falta en tu vida [You Are the Only Thing Missing in Your Life],Borja Vilaseca, 8 hrs and 28 mins
Poison Roses,"Tate James,Jaymin Eve", 8 hrs and 25 mins
The Book Spy,Alan Hlad, 11 hrs and 23 mins
Conduit Crisis,Louisa Masters, 6 hrs and 57 mins
Unbroken Bonds,J Bree, 10 hrs and 49 mins
Little Bird,Ria Wilde, 6 hrs and 18 mins
The Case Against the Sexual Revolution,Louise Perry, 6 hrs and 4 mins
Badges of Dorkdom: The Complete Series,Theo Hodges, 40 hrs and 17 mins
Jim Bridger,Jerry Enzler, 13 hrs and 41 mins
All My Knotted-Up Life,Beth Moore, 8 hrs and 29 mins
It's OK to Be Angry About Capitalism,"Senator Bernie Sanders,John Nichols", 10 hrs and 59 mins
Sapphire Scars,Nicole Fox, 9 hrs and 56 mins
I'm Not Charlotte Lucas,Kasey Stockton, 8 hrs and 56 mins
Christ-Centered Dating,Mark Ballenger, 6 hrs and 38 mins
Future Wife,Nicole Pyland, 9 hrs and 7 mins
The Final Nephilim,Ryan Pitterson, 17 hrs and 27 mins
Solid as Steele,Susan Sleeman, 9 hrs and 35 mins
Gray Tidings,Hailey Edwards, 8 hrs and 42 mins
The Auction,Maggie Cole, 9 hrs and 54 mins
Uprising,Kris Vallotton, 5 hrs and 21 mins
Reclusive Mage,Inadvisably Compelled, 12 hrs and 27 mins
Every Shot Counts,Mark Broadie, 6 hrs and 28 mins
"FOUR x4 - Four Series, Books 5-8",Stephanie Brother, 24 hrs and 26 mins
The Big Fix,Mary Calmes, 8 hrs and 31 mins
When She Unravels,Gabrielle Sands, 10 hrs and 19 mins
House of Beating Wings,Olivia Wildenstein, 15 hrs and 30 mins
Starseeds What's It All About?,Alexander Quinn, 12 hrs and 22 mins
Postcards from Stella Maris,Susan M. Boyer, 1 hr and 50 mins
Shifter Girls: Overdrive,Michael Dalton, 6 hrs and 10 mins
Dragon,Kat Blackthorne, 10 hrs and 14 mins
The Cursed Among Us,John Durgin, 6 hrs and 32 mins
Code Red,"Vince Flynn,Kyle Mills", 9 hrs and 30 mins
Stick Shift,K.M. Neuhold, 6 hrs and 38 mins
Murder Through the Mirror,L.B. Hathaway, 3 hrs and 48 mins
Gothic,Philip Fracassi, 10 hrs and 16 mins
The Farm Book 4: Behind the Curve,Boyd Craven III, 7 hrs and 23 mins
Old World War,Melissa F. Olson, 12 hrs and 4 mins
"Bent, Not Broken",Rick Gualtieri, 12 hrs and 33 mins
Saving Supervillains 3,Bruce Sentar, 10 hrs and 37 mins
Asking Better Questions of the Bible,Marty Solomon, 4 hrs and 33 mins
Nuclear War Survival,"David Kobler,JD Dutra", 1 hr and 19 mins
Fraser,Susan May Warren, 8 hrs and 38 mins
Vicious Bonds,Shanora Williams, 12 hrs and 24 mins
Cat's Chance in Hell,Meghan Maslow, 11 hrs and 47 mins
Vicious Lies,Rachel Leigh, 7 hrs and 35 mins
The Smuggler's Legacy,Franklin W. Dixon, 3 hrs and 50 mins
Prometheus Rising,Robert Anton Wilson, 7 hrs and 57 mins
Grizzly Killer: Spirit of the Mountain,Lane R. Warenski, 7 hrs and 56 mins
Never Marry Your Brother's Best Friend,Lauren Landish, 11 hrs and 25 mins
Optimize Your Health with Therapeutic Peptides,Jay Campbell, 3 hrs and 1 min
Seabreeze Reunion,Jan Moran, 6 hrs and 38 mins
Forest of Foes,Matthew Harffy, 14 hrs and 28 mins
Confessions of the Funny Fat Friend,Kelsie Hoss, 9 hrs and 52 mins
"Come, Lord Jesus",John Piper, 7 hrs and 50 mins
Tragic Bonds,J Bree, 10 hrs and 4 mins
From a Soul Friend,John O'Donohue PhD, 8 hrs and 31 mins
Confrontations,Jacques Vallee, 8 hrs and 37 mins
The Rose Girls,Jennifer Chase, 9 hrs and 40 mins
Cultivator vs. System: The Complete Series,Valerios, 37 hrs and 52 mins
A Contracted Spouse for the Prizefighter,Alice Coldbreath, 15 hrs and 43 mins
Your Place or Mine?,Portia MacIntosh, 7 hrs and 43 mins
Happy Place,Emily Henry, Not Yet Known
Torith,SunriseCV, 14 hrs and 16 mins
Dark Alliance Turbulent Waters,I. T. Lucas, 8 hrs and 21 mins
The Silence of Unworthy Gods,Andrew Rowe, 20 hrs and 43 mins
Shores of Despair,Mark Tufo, Not Yet Known
Billionaire Unclaimed: Chase,J. S. Scott, 7 hrs and 32 mins
A Game of Hearts,Joanna Barker, 11 hrs and 16 mins
Sinful Crown,Ava Harrison, 9 hrs and 8 mins
The Leadership Challenge (7th Edition),"James M. Kouzes,Barry Z. Posner", 11 hrs and 14 mins
My Kind of Town,Shelly Laurenston, 4 hrs and 23 mins
High Impact,Freya Barker, 7 hrs and 30 mins
Spare,Prince Harry The Duke of Sussex, 15 hrs and 39 mins
Dismount,Lucia Franco, 13 hrs and 24 mins
Valkyrie,Kris Michaels, 7 hrs and 6 mins
The Empire,Ivan Kal, 35 hrs and 5 mins
The Winter Soldier: Cold Front,Mackenzi Lee, 9 hrs and 21 mins
Resisting the Alpha,Skye Wilson, 9 hrs
One Girl in All the World,Kendare Blake, 10 hrs and 31 mins
Private Pilot Blueprint,Jason Schappert, 2 hrs and 9 mins
Never Lie,Freida McFadden, 7 hrs and 22 mins
Murder in Chianti,T A Williams, 6 hrs and 44 mins
Hell Divers X: Fallout,Nicholas Sansbury Smith, 12 hrs and 59 mins
Three Widows,Patricia Gibney, 13 hrs and 45 mins
Irish Coffee Murder,"Leslie Meier,Lee Hollis,Barbara Ross", 10 hrs and 16 mins
Blaze of Fury,Annabel Chase, 5 hrs and 33 mins
