,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
0,Hotel Rwanda,(2004),PG-13,121 min,"Biography, Drama, History",8.1,79,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,"['Terry George', 'Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']","357,166",$23.53M
1,Tsotsi,(2005),R,95 min,"Crime, Drama",7.2,70,Six days in the violent life of a young Johannesburg gang leader.,Gavin Hood,"['Gavin Hood', 'Presley Chweneyagae', 'Mothusi Magano', 'Israel Matseke-Zulu', 'Terry Pheto']","28,719",$2.91M
2,The Last King of Scotland,(2006),R,123 min,"Biography, Drama, History",7.6,74,Based on the events of the brutal Ugandan dictatorIdi Amin's regime as seen by his personal physician during the 1970s.,Kevin Macdonald,"['Kevin Macdonald', 'James McAvoy', 'Forest Whitaker', 'Gillian Anderson', 'Kerry Washington']","187,902",$17.61M
3,The First Grader,(2010),PG-13,103 min,"Biography, Drama, Romance",7.4,56,The story of an 84 year-old Kenyan villager and ex Mau Mau veteran who fights for his right to go to school for the first time to get the education he could never afford.,Justin Chadwick,"['Justin Chadwick', 'Naomie Harris', 'Oliver Litondo', 'Tony Kgoroge', 'Alfred Munyua']","4,721",$0.33M
4,Beasts of No Nation,(2015),None,137 min,"Drama, War",7.7,79,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",Cary Joji Fukunaga,"['Cary Joji Fukunaga', 'Abraham Attah', 'Emmanuel Affadzi', 'Ricky Adelayitor', 'Andrew Adote']","82,414",$0.08M
5,The Bang Bang Club,(2010),R,106 min,"Biography, Drama, History",6.9,48,A drama based on the true-life experiences of four combat photographers capturing the final days of apartheid in South Africa.,Steven Silver,"['Steven Silver', 'Ryan Phillippe', 'Malin Akerman', 'Taylor Kitsch', 'Neels van Jaarsveld']","10,987",None
6,La battaglia di Algeri,(1966),None,121 min,"Drama, War",8.1,96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"['Gillo Pontecorvo', 'Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash']","60,970",$0.06M
7,Sometimes in April,(2005 TV Movie),None,140 min,"Drama, History, War",7.8,None,"When the Hutu nationalists raised arms against their Tutsi countrymen in Rwanda in April 1994, the violent uprising marked the beginning of one of the darkest times in African history which resulted in the deaths of almost 800,000 people.",Raoul Peck,"['Raoul Peck', 'Idris Elba', 'Carole Karemera', 'Pamela Nomvete', 'Oris Erhuero']","5,677",None
8,Shooting Dogs,(2005),R,115 min,"Drama, History, War",7.6,71,A Catholic Priest and an English teacher get stranded in a school in Kigali during the 1994 Rwandan genocide.,Michael Caton-Jones,"['Michael Caton-Jones', 'John Hurt', 'Hugh Dancy', 'Dominique Horwitz', 'Louis Mahoney']","11,638",None
9,Desert Flower,(2009),R,120 min,"Biography, Drama",7.3,54,"Waris Dirie, born 1965 in Somalia, flees at 13 when sold as 4th wife. She's maid at the Somalian embassy in London, then McDonald's, where she's discovered and becomes int'l top model. 1997, she speaks up against female genital mutilation.",Sherry Hormann,"['Sherry Hormann', 'Soraya Omar-Scego', 'Idriss Abdillahi Houfaneh', 'Awa Saïd Darar', 'Roun Daher Aïnan']","13,486",$0.04M
