,name,link,title,image,desc
0," Zarinah Reed
",https://www.imdb.com/name/nm9195806/,,"https://m.media-amazon.com/images/M/MV5BMzNhNjlhNTEtNzEwZC00OTZiLTg2MDItYWMxOTk0NDZkNTZiXkEyXkFqcGdeQXVyNzkzMTY2Nzc@._V1_UX140_CR0,0,140,209_AL_.jpg","
Zarinah Reed is known for Snowfall (2017) and Insecure (2016).                "
1," Tanisha Grant
",https://www.imdb.com/name/nm2245139/,Actress|Snowfall,"https://m.media-amazon.com/images/M/MV5BZDY2MWNjZWYtNDEwZi00NzhlLTg3NTktOTIzMTNjZWUyZDVlXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR38,0,140,209_AL_.jpg","
TANISHA LAVERNE GRANT a 2018 distinguished BLACK WOMEN IN MEDIA honoree single-handedly gets the exclusive! A widely respected entertainment journalist known as a ""Hollywood Insider"" Tanisha is one of the industry's leading go to personalities for all things pop culture! The multi award winning ...                "
2," Regina Hall
",https://www.imdb.com/name/nm0356021/,Righteous Kill,"https://m.media-amazon.com/images/M/MV5BMTQ5NjUyNjk2OF5BMl5BanBnXkFtZTcwNzEwMTYwMg@@._V1_UY209_CR2,0,140,209_AL_.jpg","
Regina Hall was born December 12, 1970 in Washington, D.C., to Ruby, a teacher, and Odie Hall, a contractor. She graduated from Fordham University in 1992, and went on to earn a master's degree in journalism from New York University before shifting to an acting career. In 1997 at age 26, she began ...                "
3," Robin Givens
",https://www.imdb.com/name/nm0002101/,Actress|Girls Trip,"https://m.media-amazon.com/images/M/MV5BMTQwMzQ5MTgxNF5BMl5BanBnXkFtZTcwMTY1Mzk1MQ@@._V1_UY209_CR6,0,140,209_AL_.jpg","
Robin Simone Givens was born on November 27, 1964 in New York City, to Ruth (Newby) and Reuben Givens. Her father left his family when Robin was a young girl, and she seldom saw him after that. Robin's mother raised her and her younger sister in Westchester, Connecticut. Her mother (once linked to ...                "
4," Ruby Dee
",https://www.imdb.com/name/nm0002039/,Actress|Boomerang,"https://m.media-amazon.com/images/M/MV5BMjU1NTkxODQwM15BMl5BanBnXkFtZTcwODMwMzc1MQ@@._V1_UY209_CR17,0,140,209_AL_.jpg","
Ruby Dee was an American actress, poet, playwright, screenwriter, journalist and civil rights activist. She is best known for originating the role of ""Ruth Younger"" in the stage and film versions of A Raisin in the Sun (1961).She also starred in The Jackie Robinson Story (1950), Cat People (1982), ...                "
5," Viola Davis
",https://www.imdb.com/name/nm0205626/,Actress|American Gangster,"https://m.media-amazon.com/images/M/MV5BNzUxNjM4ODI1OV5BMl5BanBnXkFtZTgwNTEwNDE2OTE@._V1_UY209_CR15,0,140,209_AL_.jpg","
Viola Davis is a critically revered actress of film, television, and theater and has won rave reviews for her multitude of substantial and intriguingly diverse roles. Audiences across the United States and internationally have admired her for her work- including her celebrated, Oscar-nominated ...                "
6," Cicely Tyson
",https://www.imdb.com/name/nm0001807/,Actress|Fences,"https://m.media-amazon.com/images/M/MV5BMTU4OTM1MDczN15BMl5BanBnXkFtZTcwNDI5NzcyMw@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Cicely Tyson was born in Harlem, New York City, where she was raised by her devoutly religious parents, from the Caribbean island of Nevis. Her mother, Theodosia, was a domestic, and her father, William Tyson, was a carpenter and painter. She was discovered by a fashion editor at Ebony magazine and...                "
7," Brandy Norwood
",https://www.imdb.com/name/nm0005275/,Actress|The Help,"https://m.media-amazon.com/images/M/MV5BMTM4Mzg1MTM3N15BMl5BanBnXkFtZTcwMDk0MTMwNA@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Brandy Norwood is an African-American singer-songwriter and actress from McComb, Mississippi. She is known for her roles in Moesha, Osmosis Jones and Cinderella. She has released many R&B albums and singles since the 1990s. She is known as ""The Vocal Bible"". She gave birth to a daughter named ...                "
8," Grace Jones
",https://www.imdb.com/name/nm0005063/,Actress|I Still Know What You Did Last Summer,"https://m.media-amazon.com/images/M/MV5BMTg4Njc1ODc2NV5BMl5BanBnXkFtZTYwNjc1MDU1._V1_UY209_CR10,0,140,209_AL_.jpg","
Grace Jones was born on May 19, 1948 in Spanish Town, St Catherine, Jamaica to Marjorie Jones (née Williams) and Reverend Robert W. Jones. When she was 12 she moved to Syracuse, New York, joining her family who had already moved there. She studied acting at Syracuse University and appeared in her ...                "
9," Diahann Carroll
",https://www.imdb.com/name/nm0140792/,Actress|A View to a Kill,"https://m.media-amazon.com/images/M/MV5BMjAyODQwNzA4N15BMl5BanBnXkFtZTYwNTQ2MjUz._V1_UY209_CR3,0,140,209_AL_.jpg","
One of television's premier African-American series stars, elegant actress, singer and recording artist Diahann Carroll was born Carol Diann (or Diahann) Johnson on July 17, 1935, in the Bronx, New York. The first child of John Johnson, a subway conductor, and Mabel Faulk Johnson, a nurse; music ...                "
