ProductName,ProductPrice,SKU,Categories,Image
Japera Halterneck Pink Gown,"1,200.00",BB-17-054,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/japera-halterneck-pink-gown-01.jpg
Ivy Lime Gown,"1,200.00",BB-17-021G,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/ivy-lime-gown-01.jpg
Nile Midi Dress,"5,500.00",BB-17-051,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/nile-midi-dress-01.jpg
Cameroon Coffee Gown,"2,800.00",BB-17-047,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/cameroon-coffee-gown-01.jpg
Taraji High Low Pink Gown,"1,200.00",BB-17-045,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/taraji-high-low-pink-gown-01.jpg
Unika Mini Dress,"5,500.00",BB-17-050,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/unika-mini-dress-01.jpg
Salma Neon Green Two Piece Set,750.00,BB-17-024G,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/salma-neon-green-two-piece-set-01.jpg
Somalia Pink Gown,"1,500.00",BB-17-043,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/somalia-pink-gown-01.jpg
Sierra Leone Issa One Sleeve Mini,"1,500.00",BB-17-042,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/sierra-leone-issa-one-sleeve-mini-01.jpg
Japera Gown,"1,200.00",BB-17-041,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/japera-gown-01.jpg
Cameroon Pink Gown,"2,800.00",BB-17-040,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/cameroon-pink-gown-01.jpg
Taraji One Shoulder Gown,980.00,BB-17-036,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/taraji-one-shoulder-gown-01.jpg
Somalia Green Two Piece,"1,800.00",BB-17-035,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/somalia-green-two-piece-01.jpg
Cameroon Green Gown,"2,400.00",BB-17-032,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/cameroon-green-gown-01.jpg
Capri Blanc Bralette,250.00,BB-CAP05-20,"Bridal,Shop All",https://bronxandbanco.com/wp-content/uploads/2020/07/bridal-dresses-sexy-215-750x1125.jpg
Zola Chain Gold Gown,"1,500.00",BB-17-030,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/zola-chain-gold-gown-01.jpg
Nile Gown,"5,500.00",BB-17-001,"New Arrivals,Shop All,Summer 23",https://bronxandbanco.com/wp-content/uploads/2022/09/nile-gown-01.jpg
Twiggy Noir Blazer,430.00,BB-07-0009BL,"Fall 20,Shop All",https://bronxandbanco.com/wp-content/uploads/2020/08/womens-fall-dresses-designer-467-750x1123.jpg
Midnight Noir Gown,"1,100.00",BB-10-0028,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/womens-fall-dresses-designer-01.jpg
Twiggy Mint Blazer,480.00,BB-07-03,"Shop All,Spring 21",https://bronxandbanco.com/wp-content/uploads/2020/12/spring-dresses-2021-designer-wear-84.jpg
Capri Lime Mini Dress,350.00,BB-08-0034,"New Arrivals,Shop All,Summer 21",https://bronxandbanco.com/wp-content/uploads/2020/12/resort-dresses-fashion-luxury-81.jpg
Carmen Bridal Gown,850.00,BB-CAP05-02,"Bridal,Shop All",https://bronxandbanco.com/wp-content/uploads/2020/07/bridal-dresses-sexy-228-750x1125.jpg
