,Apt,Rooms,Surface,Picture_Url,Location,Date,Price
0,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"Rufisque,
Dakar","7. oct. '22, 10:14","['175', '000 F Cfa']"
1,Bel appartement à louer,4 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e1f1c098ec15e374a5c74f9a973f17d0/-/horizon-files-prod/ed/picture/qrz2gg09/d23842a71614df2d99e1b25538d019041eace89d.jpg,"Mbao,
Dakar","Aujourd'hui, 16:48","['160', '000 F Cfa']"
2,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"Rufisque,
Dakar","7. oct. '22, 10:14","['175', '000 F Cfa']"
3,Appartement de luxe à louer à ngor,3 chambre,160 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/10e570babacef496e66c0fc740e9732b/-/horizon-files-prod/ed/picture/qgq5pngn/7a363ab475193dc56461de68a59f2a1e5943f140.jpg,"Ngor,
Dakar","Aujourd'hui, 13:35","['400', '000 F Cfa']"
4,Appartement neuf à louer cité keur Gorgui,3 chambre,130 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e23b9dfac27f067ee565cf54b4a08d58/-/horizon-files-prod/ed/picture/q6wmv4p/4ee68acfe64ff5c1712c48ee4b83683deca7a2a0.jpg,"Cité keur gorgui,
Dakar","Aujourd'hui, 08:36","['550', '000 F Cfa']"
5,Magnifique appartement mamelles cité magistrats,3 chambre,280 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/015874ae755dc8ed942e19b5ff74311c/-/horizon-files-prod/ed/picture/q78ve5pz/f9de04e8ea069f640bd3ced48ad6a960322641a5.jpg,"Mamelles,
Dakar","Aujourd'hui, 08:36","['700', '000 F Cfa']"
6,Appartement haut de gamme sur Fenetre mermoz,3 chambre,190 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/440a5c99838bb9e597a902208dcc2d04/-/horizon-files-prod/ed/picture/qnrnkrr/aa9e36d3aa133b915e340b5382e2ade9c3fe653e.jpg,"Fenêtre mermoz,
Dakar","Aujourd'hui, 08:36","['1', '400', '000 F Cfa']"
7,Studio a louer avec les meubles aux mamelles,1 chambre,100 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/de8c3a2773311a19159b931e282b887b/-/horizon-files-prod/ed/picture/q0gp7xmx/f3a4a5735ebb35b993820713346f46b1c3afd99b.jpg,"Mamelles,
Dakar","samedi, 17:21","['480', '000 F Cfa']"
8,Appartement f4 à louer à la cité biagui,3 chambre,160 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/1462221ff7a678b01a6dbec0cc1b59f7/-/horizon-files-prod/ed/picture/qzv2ngk8/64d75bcfdefd683c0e1458c08efc0fdbf431341c.jpg,"Cité biagui,
Dakar","Hier, 14:46","['450', '000 F Cfa']"
9,Appartement à louer aux Almadies,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/efc1113cce3412820e7135163944297f/-/horizon-files-prod/ed/picture/qmwm4k6/f09e79d20bb06300863e512fadb135473230805b.jpg,"Almadies,
Dakar","Hier, 11:55","['1', '500', '000 F Cfa']"
10,Appartement 3 pièces à Mariste,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/d37cd683375c923bbc5bbb4dac8c2c66/-/horizon-files-prod/ed/picture/q0mm5pg/d4ad87a71d981810addf2fc04ff3d7074781205e.jpg,"Hann maristes,
Dakar","Hier, 10:16","['225', '000 F Cfa']"
